file_name,label
train_images/0.jpg,0
train_images/1.jpg,1
train_images/2.jpg,0
train_images/3.jpg,0
train_images/4.jpg,1
train_images/5.jpg,1
train_images/6.jpg,0
train_images/7.jpg,0
train_images/8.jpg,0
train_images/9.jpg,0
train_images/10.jpg,1
train_images/11.jpg,1
train_images/12.jpg,0
train_images/13.jpg,0
train_images/14.jpg,1
train_images/15.jpg,0
train_images/16.jpg,0
train_images/17.jpg,1
train_images/18.jpg,1
train_images/19.jpg,0
train_images/20.jpg,0
train_images/21.jpg,1
train_images/22.jpg,0
train_images/23.jpg,1
train_images/24.jpg,0
train_images/25.jpg,1
train_images/26.jpg,0
train_images/27.jpg,0
train_images/28.jpg,0
train_images/29.jpg,0
train_images/30.jpg,0
train_images/31.jpg,1
train_images/32.jpg,0
train_images/33.jpg,0
train_images/34.jpg,0
train_images/35.jpg,1
train_images/36.jpg,0
train_images/37.jpg,1
train_images/38.jpg,1
train_images/39.jpg,1
train_images/40.jpg,1
train_images/41.jpg,1
train_images/42.jpg,0
train_images/43.jpg,0
train_images/44.jpg,1
train_images/45.jpg,0
train_images/46.jpg,0
train_images/47.jpg,0
train_images/48.jpg,0
train_images/49.jpg,1
train_images/50.jpg,0
train_images/51.jpg,0
train_images/52.jpg,0
train_images/53.jpg,0
train_images/54.jpg,0
train_images/55.jpg,0
train_images/56.jpg,1
train_images/57.jpg,1
train_images/58.jpg,0
train_images/59.jpg,1
train_images/60.jpg,0
train_images/61.jpg,0
train_images/62.jpg,1
train_images/63.jpg,0
train_images/64.jpg,1
train_images/65.jpg,1
train_images/66.jpg,0
train_images/67.jpg,0
train_images/68.jpg,0
train_images/69.jpg,0
train_images/70.jpg,0
train_images/71.jpg,1
train_images/72.jpg,1
train_images/73.jpg,0
train_images/74.jpg,1
train_images/75.jpg,1
train_images/76.jpg,1
train_images/77.jpg,0
train_images/78.jpg,0
train_images/79.jpg,1
train_images/80.jpg,1
train_images/81.jpg,1
train_images/82.jpg,1
train_images/83.jpg,1
train_images/84.jpg,1
train_images/85.jpg,0
train_images/86.jpg,0
train_images/87.jpg,0
train_images/88.jpg,0
train_images/89.jpg,0
train_images/90.jpg,1
train_images/91.jpg,0
train_images/92.jpg,0
train_images/93.jpg,1
train_images/94.jpg,1
train_images/95.jpg,1
train_images/96.jpg,0
train_images/97.jpg,1
train_images/98.jpg,1
train_images/99.jpg,0
train_images/100.jpg,0
train_images/101.jpg,0
train_images/102.jpg,0
train_images/103.jpg,0
train_images/104.jpg,0
train_images/105.jpg,0
train_images/106.jpg,0
train_images/107.jpg,1
train_images/108.jpg,1
train_images/109.jpg,1
train_images/110.jpg,0
train_images/111.jpg,1
train_images/112.jpg,0
train_images/113.jpg,1
train_images/114.jpg,1
train_images/115.jpg,0
